Helix.A-Helix,Helix.3-Helix,Helix.5-Helix,Helix.PPII-Helix,Sheet.B-Sheet,Sheet.B-Bridge,Turn.Turn,Turn.Bend,Coil
0,0,0,0,111,8,0,22,69
0,0,0,2,103,9,0,26,70
0,0,0,0,95,10,0,25,80
0,0,0,0,111,8,0,26,65
0,0,0,0,101,9,0,27,73
0,0,0,0,109,4,0,28,69
0,0,0,0,109,6,2,25,68
0,0,0,0,107,10,0,22,71
0,0,0,0,103,14,0,24,69
0,0,0,0,105,9,1,25,70
0,0,0,0,107,9,1,25,68
0,0,0,0,112,6,2,23,67
0,0,0,0,104,9,1,24,72
0,0,0,0,108,12,1,22,67
0,0,0,0,114,8,0,26,62
0,0,0,0,93,15,0,25,77
0,0,0,0,106,7,2,25,70
0,0,0,0,120,7,1,21,61
0,0,0,0,118,6,1,22,63
0,0,0,0,104,9,0,26,71
0,0,0,0,101,10,2,24,73
0,0,0,0,108,7,2,25,68
0,0,0,0,111,5,2,25,67
0,0,0,0,117,4,2,23,64
0,0,0,0,110,11,0,22,67
0,0,0,0,120,10,1,21,58
0,0,0,0,120,6,1,21,62
0,0,0,2,112,11,2,22,61
0,0,0,0,111,9,1,23,66
0,0,0,0,100,11,1,23,75
0,0,0,1,102,9,2,26,70
0,0,0,2,109,10,1,23,65
0,0,0,0,124,8,0,23,55
0,0,0,1,109,15,2,21,62
0,0,0,2,108,10,1,23,66
0,0,0,2,117,7,0,23,61
0,0,0,0,111,12,1,21,65
0,0,0,0,116,9,0,22,63
0,0,0,0,112,10,1,21,66
0,0,0,0,108,13,0,21,68
0,0,0,0,112,10,0,23,65
0,0,0,0,118,12,0,20,60
0,0,0,0,105,9,0,25,71
0,0,0,0,112,10,1,21,66
0,0,0,0,111,7,0,25,67
0,0,0,0,121,8,0,25,56
0,0,0,2,113,7,1,22,65
0,0,0,0,113,4,2,25,66
0,0,0,2,109,7,2,22,68
0,0,0,0,104,8,2,24,72
0,0,0,0,119,4,2,23,62
0,0,0,2,105,13,1,22,67
0,0,0,0,114,7,0,26,63
0,0,0,0,106,8,2,24,70
0,0,0,2,101,9,4,24,70
0,0,0,2,108,10,1,23,66
0,0,0,0,113,8,1,20,68
0,0,0,0,108,8,0,24,70
0,0,0,0,112,9,0,24,65
0,0,0,0,102,15,0,23,70
0,0,0,2,106,11,0,24,67
0,0,0,2,116,6,2,21,63
0,0,0,0,118,9,1,21,61
0,0,0,0,112,11,1,23,63
0,0,0,2,110,8,0,24,66
0,0,0,2,105,10,1,21,71
0,0,0,2,102,13,0,23,70
0,0,0,0,110,8,0,23,69
0,0,0,0,118,6,1,20,65
0,0,0,0,105,10,0,25,70
0,0,0,0,116,9,2,23,60
0,0,0,0,116,9,1,22,62
0,0,0,0,112,7,0,23,68
0,0,0,0,112,8,1,24,65
0,0,0,2,107,8,1,23,69
0,0,0,0,112,7,0,26,65
0,0,0,0,116,5,2,21,66
0,0,0,0,125,6,0,22,57
0,0,0,0,114,10,1,23,62
0,0,0,0,106,10,1,22,71
0,0,0,0,112,6,1,21,70
0,0,0,0,109,10,1,24,66
0,0,0,0,114,7,1,23,65
0,0,0,0,116,8,0,22,64
0,0,0,0,114,10,0,25,61
0,0,0,0,106,9,0,23,72
0,0,0,0,101,13,1,23,72
0,0,0,0,121,8,1,19,61
